year,road_user,hospitalisations
2011,Cyclist,5391
2011,Driver,10948
2011,Motorcyclist,7565
2011,Passenger,5742
2011,Pedestrian,2754
2012,Cyclist,5621
2012,Driver,10806
2012,Motorcyclist,7728
2012,Passenger,5633
2012,Pedestrian,2672
2013,Cyclist,6262
2013,Driver,10942
2013,Motorcyclist,8018
2013,Passenger,5646
2013,Pedestrian,2657
2014,Cyclist,6636
2014,Driver,11122
2014,Motorcyclist,8334
2014,Passenger,5353
2014,Pedestrian,2554
2015,Cyclist,6716
2015,Driver,12163
2015,Motorcyclist,8298
2015,Passenger,5770
2015,Pedestrian,2627
2016,Cyclist,6904
2016,Driver,13194
2016,Motorcyclist,8526
2016,Passenger,5911
2016,Pedestrian,2743
2017,Cyclist,7076
2017,Driver,13267
2017,Motorcyclist,8739
2017,Passenger,5879
2017,Pedestrian,2714
2018,Cyclist,6959
2018,Driver,13595
2018,Motorcyclist,8623
2018,Passenger,6070
2018,Pedestrian,2661
2019,Cyclist,7302
2019,Driver,13482
2019,Motorcyclist,8924
2019,Passenger,5786
2019,Pedestrian,2713
2020,Cyclist,8332
2020,Driver,12217
2020,Motorcyclist,8684
2020,Passenger,5075
2020,Pedestrian,2103
2021,Cyclist,8163
2021,Driver,13327
2021,Motorcyclist,8883
2021,Passenger,5212
2021,Pedestrian,2334
